,asset
0,DREP
1,REEF
2,NEO
3,WIN
4,REP
5,BTCUP
6,FTT
7,UNIUP
8,BAND
9,IOTA
10,XMR
11,YFI
12,AUDIO
13,AR
14,XLMDOWN
15,PORTO
16,NXS
17,PUNDIX
18,STEEM
19,ATOM
20,ICP
21,BGBP
22,TRX
23,MFT
24,STRAX
25,VIA
26,GBP
27,THETA
28,AAVEUP
29,POE
30,PAX
31,BQX
32,ALPACA
33,SNT
34,MBL
35,CFX
36,ETH
37,POWR
38,BUSD
39,LIT
40,STORM
41,BNT
42,WINGS
43,PAXG
44,SANTOS
45,FXS
46,UST
47,DEGO
48,BEAM
49,BDOT
50,CLOAK
51,VET
52,ETHUP
53,FIL
54,IRIS
55,RDNT
56,WAXP
57,CHR
58,HBAR
59,RIF
60,ARN
61,PHA
62,BKRW
63,SPELL
64,T
65,IQ
66,XVG
67,RENBTC
68,HSR
69,XZC
70,CELR
71,OMG
72,EDU
73,ASTR
74,LTO
75,QI
76,ENS
77,BCHABC
78,YFII
79,CREAM
80,CMT
81,BCHDOWN
82,BNBBULL
83,FUEL
84,SPARTA
85,NEAR
86,MC
87,XTZDOWN
88,DASH
89,JASMY
90,MOB
91,RCN
92,GMT
93,BAT
94,AUD
95,LINKUP
96,PHB
97,XRP
98,FLUX
99,XEC
100,RPX
101,CKB
102,NBS
103,UNI
104,BURGER
105,LINKDOWN
106,USDP
107,STORJ
108,ONT
109,XRPDOWN
110,PSG
111,LTCUP
112,STMX
113,ICX
114,TROY
115,PHX
116,AUTO
117,MOD
118,TVK
119,CRV
120,OST
121,BNX
122,NAS
123,AAVE
124,BICO
125,VTHO
126,TRU
127,ATM
128,PYR
129,HNT
130,ALPINE
131,LQTY
132,AAVEDOWN
133,SXPDOWN
134,CELO
135,ADX
136,ARPA
137,INS
138,SKL
139,SNGLS
140,YOYO
141,GNT
142,VIB
143,LUN
144,DATA
145,MTL
146,LEND
147,RAMP
148,RUNE
149,ILV
150,NAV
151,XVS
152,BNBUP
153,GNS
154,WABI
155,DOTDOWN
156,ADAUP
157,BNB
158,XEM
159,AUCTION
160,KEEP
161,RSR
162,SUPER
163,BTCB
164,WOO
165,UNIDOWN
166,HIFI
167,CTXC
168,VEN
169,MKR
170,MDT
171,VITE
172,CVP
173,BRD
174,ETC
175,HARD
176,SUB
177,WPR
178,DEXE
179,GALA
180,COCOS
181,ZEN
182,FIRO
183,SSV
184,ACA
185,IOTX
186,POLYX
187,GAS
188,SUSHI
189,ATA
190,OP
191,ONG
192,HIGH
193,CVC
194,TUSDB
195,SXPUP
196,QSP
197,GRS
198,RGT
199,MBOX
200,WING
201,DLT
202,ALPHA
203,GXS
204,SUSD
205,TOMO
206,KDA
207,RAD
208,POA
209,MIR
210,PEPE
211,XNO
212,GO
213,JUV
214,BOT
215,DCR
216,SUSHIDOWN
217,ENJ
218,UMA
219,UTK
220,TNT
221,PROS
222,EOSDOWN
223,ORN
224,GLM
225,OCEAN
226,YFIUP
227,C98
228,AGLD
229,CTSI
230,ID
231,TRIG
232,ETHBEAR
233,ALCX
234,MOVR
235,MULTI
236,TLM
237,COVER
238,ENG
239,OXT
240,TUSD
241,FLOKI
242,MATIC
243,USDT
244,DODO
245,DGD
246,DENT
247,OAX
248,NEBL
249,EOSBULL
250,CND
251,MLN
252,CVX
253,RDN
254,AMB
255,TRIBE
256,IMX
257,TNB
258,CHZ
259,MAGIC
260,DOT
261,AKRO
262,SOL
263,FOR
264,VIDT
265,UNFI
266,AION
267,XRPBULL
268,BCN
269,SCRT
270,BCH
271,WAN
272,LTCDOWN
273,XRPBEAR
274,SKY
275,ROSE
276,HIVE
277,CLV
278,BLZ
279,BETH
280,XLM
281,OSMO
282,BAR
283,DNT
284,ANC
285,FET
286,STRAT
287,API3
288,MINA
289,YGG
290,COTI
291,REN
292,MDA
293,XTZ
294,FIS
295,APPC
296,NKN
297,DOCK
298,BNBBEAR
299,POLS
300,CDT
301,BTC
302,GTC
303,BNBDOWN
304,TRB
305,STPT
306,BCHA
307,VIBE
308,EUR
309,USTC
310,NMR
311,AVAX
312,OG
313,USDS
314,QNT
315,POLY
316,KAVA
317,SNM
318,IDEX
319,BTCST
320,EGLD
321,LUNA
322,ASR
323,GTO
324,OOKI
325,RLC
326,AE
327,PIVX
328,BTT
329,LRC
330,ADA
331,SYN
332,ICN
333,ALGO
334,BULL
335,EASY
336,FLM
337,HOOK
338,ANKR
339,STG
340,AGIX
341,GHST
342,BCC
343,PNT
344,DOTUP
345,LINK
346,BADGER
347,BCD
348,GLMR
349,BAKE
350,ZEC
351,ELF
352,PERP
353,BTCDOWN
354,ARK
355,PPT
356,LEVER
357,ANT
358,LOKA
359,BCHUP
360,KSM
361,MCO
362,FORTH
363,SUI
364,SC
365,RVN
366,MITH
367,USDSB
368,OM
369,GAL
370,PENDLE
371,ONE
372,TRXDOWN
373,BEAR
374,POND
375,TKO
376,WBETH
377,NULS
378,FILDOWN
379,RNDR
380,BTG
381,BETA
382,SNX
383,ACH
384,BAL
385,DGB
386,FIDA
387,EVX
388,TORN
389,XRPUP
390,USDC
391,ALICE
392,LDO
393,AGI
394,DAI
395,BEL
396,MANA
397,AERGO
398,NU
399,PROM
400,ZRX
401,BIFI
402,COMP
403,VOXEL
404,BTS
405,FTM
406,QLC
407,IOST
408,COS
409,BCPT
410,DUSK
411,INJ
412,KLAY
413,RARE
414,EZ
415,SHIB
416,AMP
417,LAZIO
418,LSK
419,SLP
420,MAV
421,XTZUP
422,CTK
423,NPXS
424,EOS
425,AST
426,TWT
427,COMBO
428,DIA
429,DF
430,MASK
431,HFT
432,GFT
433,ADADOWN
434,HEGIC
435,SUN
436,MTH
437,GMX
438,FLOW
439,REQ
440,GVT
441,PEOPLE
442,EPS
443,RPL
444,HOT
445,WRX
446,LOOM
447,ETHBULL
448,ARDR
449,TCT
450,KNC
451,YFIDOWN
452,ARB
453,XLMUP
454,1INCHUP
455,SALT
456,WAVES
457,BCHSV
458,QKC
459,SAND
460,EOSUP
461,SUSHIUP
462,1INCH
463,FILUP
464,GNO
465,FIO
466,SYS
467,JOE
468,LTC
469,CHAT
470,APE
471,QUICK
472,REI
473,CHESS
474,HC
475,SRM
476,MDX
477,JST
478,WNXM
479,ERD
480,TRXUP
481,EPX
482,TFUEL
483,UFT
484,KEY
485,CAKE
486,BZRX
487,ETHDOWN
488,NANO
489,SWRV
490,GRT
491,FRONT
492,BOND
493,ZIL
494,PLA
495,VGX
496,AVA
497,WTC
498,LPT
499,EOSBEAR
500,DYDX
501,KP3R
502,APT
503,CITY
504,NEXO
505,SXP
506,ANY
507,EDO
508,STX
509,FUN
510,DAR
511,PERL
512,OGN
513,QTUM
514,NCASH
515,DOGE
516,SFP
517,LUNC
518,RAY
519,ACM
520,KMD
521,WBTC
522,FARM
523,1INCHDOWN
524,BSW
525,ERN
526,LINA
527,AXS
528,BTTC
